sentence,,,,,,,
"PRICED ABOVE MSRP. First thing first. These are Overpriced. This particular Nike Dri-Fit Training shirt has an MSRP of $22 (see picture of the tag from the green shirt for $22 and I paid $24 for it) and most of them listed here are going for $22-$30. That is ridiculous. You can go to Dicks Sporting Goods website and get them for $16.50. I ordered two of these shirts in red and green size XL for $23 and $24 respectively. The only reason I ordered these is because I thought they were the Dri-Fit Ts that normally retail for ~$35 and I thought I was getting a good deal. I have two of the $35 dri-fit t-shirts already, which fit really nice (not tight, I hate tight shirts, but not loose). These cheaper dri-fit t-shirts fit much larger than the $35 ones (see picture red $22 MSRP from amazon on left and navy $35 MSRP from Dicks on right, both XL). I am 63"", 230 lbs and the XL feels like I am wearing a dress.

Very good Dri-Fit long sleeve shirt for running in cool weather.,,,,,,,
Absolutely Perfect!!,,,,,,,
Good quality...good fit.....nice material for a trip as it is easy to clean,,,,,,,
great shirt, very comfortable and form fitting,,,,,,
These shirts are great for working out. Keeps you dry and very comfortable. I have used them for hiking in cold weather as well as an undershirt to wick sweat away.,,,,,,,
Item as described,,,,,,,
Awesome like all things Nike. The only thing is the neck line runs a little loose for my liking. A thicker seam on the neckline would make this shirt perfect.,,,,,,,
Shirt fit as expected and was the exact shade of red I wanted.,,,,,,,
Fits well, easy to wrestle in and work out in,,,,,,
fits great,,,,,,,
Great,,,,,,,
Good shirt!,,,,,,,
LOVE these shirts ave one of every color made.,,,,,,,
Great,,,,,,,
High quality product,,,,,,,
Excellent,,,,,,,
Very comfortable. Wore to 5k.,,,,,,,
Very comfortable. Can be worn almost any time. Can easily be worn under pullovers or sweats. Very comfortable...did I say comfortable? Its just a great shirt. I highly recommend getting one or two.,,,,,,,
Made nice.,,,,,,,
Great product. Came as expected.,,,,,,,
Good fit, pretty comfortable.,,,,,,
Excellent,,,,,,,
Great shirt!,,,,,,,
Very light,,,,,,,
Love this shirt I will buy more colors soon,,,,,,,
I like this shirt It is comfortable with a nice body conforming fit. The material is a bit thin...I would like to see a therma fit in this style.,,,,,,,
Just right,,,,,,,
The shirt fits perfect and the price is alot cheaper than in a store!!,,,,,,,
awesome,,,,,,,
thx,,,,,,,
Great fit; light weight .Perfect to work out in which was just what he wanted.,,,,,,,
This shirt is great for warming up, light workouts, or running outside/on the treadmill. It fits really well, and is thin so it is very breathable.,,,,
Extraordinarily thin material. Maybe thats the way it is supposed to be.,,,,,,,
Very good,,,,,,,
thank you,,,,,,,
I love this,,,,,,,
GOOD!GOOD!GOOD!,,,,,,,
These are hard to find but well worth the money,,,,,,,
Great,,,,,,,
Good quality got to me fast,,,,,,,
Just what I have ordered,,,,,,,
Fully satisfied and product quality as expected,,,,,,,
I love it. It fits well,,,,,,,
Works great,,,,,,,
I love it!,,,,,,,
Great fit,,,,,,,
great!,,,,,,,
Love the shirts!,,,,,,,
Lightweight and very packable.,,,,,,,
Good,,,,,,,
Exactly what I was looking for. Unbelievably comfortable,,,,,,,
Good,,,,,,,
Not too bad.,,,,,,,
Great deal,,,,,,,
get what you pay for, and this was as expected.,,,,,,
Love it,,,,,,,
Very comfortable and well priced for UA.,,,,,,,
Fits great,,,,,,,
The shirt was a gift for my boyfriend. It was packaged well, and still had the tags. It fit him a little big,,,,,,
perfect,,,,,,,
Great,,,,,,,
Great shirt!,,,,,,,
Nice fit, thanks,,,,,,
Good fits,,,,,,,
Love it!,,,,,,,
Excelent,,,,,,,
#swag,,,,,,,
good for price,,,,,,,
It fit well.,,,,,,,
Fast shipping. Exactly what i wanted,,,,,,,
Shirt fits very well, is very soft and comfortable. I ordered a few more in other colors. Good for exercising.,,,,,,
as expected,,,,,,,
fits great,,,,,,,
Ordered a size small...it was huge...and I am 5.10 and 150 LBs...,,,,,,,
Love these Nike Dri-Fit crew tops. Long sleeve or short sleeve they make for great casual shirts or workout shirts. Theyre breathable, durable, and fashionable. The heather grey color is my favorite. I bought this one to replace the one I let my friend borrow(which he has yet to return). Great product!,,,,,
My son wanted to purchase this. While I felt it was a bit overpriced, he was very happy with it. The material is very breathable.,,,,,,
Bought it for my husband. He loves these dry-fit tees and wanted this color. He was somewhat disappointed because it fit him larger than the other long sleeve dry-fit Nike tees that he has bought in the past. For future buyers, I recommend buying a size smaller.,,,,,,
Fit perfect - large as expected. Great material that dries quick.,,,,,,,
is bad,,,,,,,
I use this for golf when I go to practice and occasionally play. Feels great in Texas summers at 100+ degree heat. Usually a concern for me is how see threw the white is but I have not had that problem with this product! Am going to buy more and get a polo version as well,,,,,,,
This is a nice product, but the arms are very long compared with the body. If you need a shirt for a bigger body, but dont have particularly long arms, you may want to look at other similar products.,,,,
It doesnt feel like a Nike product. Looks like a cheap rip off.,,,,,,,
Solid shirt. I got this item for the gym but I also wear it when Im not in the gym. It is light so it is very breathable. I have a few short sleeve versions of this shirt but I think Ill be getting more of these in the future.,,,,,,,
"Really like the shirt but it definitely runs large. I am 62"" and the sleeves are long and the neck opening is larger than I would like. Really wish I had ordered a size smaller but stuck with an expensive t-shirt.",,,,,,,
Fit perfectly,,,,,,,
Very nice fit, color very true to picture and size was very accurate, my husband loved it,,,,,
The only problem I have is that I paid 30 dollars for a 28 dollar shirt. Thats what it said on the tag !! I should have looked further for a better deal !!,,,,,,,
I would advise anyone purchasing to order a size down. I ordered a medium and it looks like a large plus its a very loose material so that makes it even bigger fitting.,,,,,,,
My husband really likes this shirt however it swallows him. And the sleeves are long. Still giving 4 stars because for someone that it fits it would be perfect.,,,,,,,
This is a nice shirt for working out or casual wear. It is really thin material so can be worn in summer too. It fits nice, not super tight but like a t-shirt.,,,,,,
The shirt arrived quickly, and his extremely comfortable. I recommend this product for anyone that is interested in being comfortable while working out.,,,,,,
Everything arrived on time and in good condition. Great product for working out - exactly what I was hoping for / expected. Happy with my purchase,,,,,,,
He said its light weight very comfortable. As for me the wash, Can wear right out of dryer and its looks brand new. I bought all colors for him.,,,,,,
"The material is cheap. Not what I expected from reading the reviews. Ive bought actual Nike ""dri-fit"" from Nike and those were actually very durable and warm. This material is very thin. If you want it just for looks for the gym, I guess its ok but for its purpose -dont buy",,,,,,,
It doesnt seem authentic. It was huge. Small fit like a large. Material isnt similar to Nikes shirts.,,,,,,,
To large for me,,,,,,,
I ordered an XL and I received an XL Tall. Does not fit well at all. Product is not as described.,,,,,,,
Great it is exactly what I ordered.....great product and great price, would order more of these in the future for sure,,,,,,
The shirt was a little too big but I still use it. It works great and worth the price I paid.,,,,,,,
Excellent quality. My grandson loved it and it looked great on him. Very pleased.,,,,,,,
S Size was a bit large and wide for me in the sleeves, but still being a good product!,,,,,,
this product is very good, apart from their arrival shipping services consider them the best,,,,,,
Good fit and so far good quality to resistance to wear and tear,,,,,,,
No comment,,,,,,,
Nice Long Sleeve!,,,,,,,
great product snd customer service,,,,,,,
Its ok,,,,,,,
Good,,,,,,,
Dont buy it. When i saw this first time in my eyes, i couldnt believe my eyes. I ordered T-shirt not dress. So I measured this stupid long bodied T-shirt, it was 29.5 inches. How can man have a body lengths of 29.5 inches? Besides the fact that i am Asian, this T-shirt is way too long.,,,,
Good,,,,,,,
I was expecting more of an under armor type of shirt. you know, tightly fit on the sleeves to show off biceps.? A bit loose on the arms and short in length of the entire shirt. fits kind of awkward for my taste. Good material though.,,,,,,
I hate the fit as that the large fits like a normal x-large. Something was wrong with the sizing.,,,,,,,
About 100% sure this shirt isnt a real Nike Dri-Fit. I own about 4 different Dri-fits and this one is counterfeit. The Nike swoosh looks and feels fake, the fabric doesnt feel like a Dri fit.,,,,,,
Excelente. Continuaré comprando a este vendedor. Tienda recomendada para hacer más compras internacionales. GRACIAS POR LA VENTA DEL PRODUCTO. SALUDOS,,,,,,,
Comfy sweater especially for work in the spring and fall,,,,,,,
I initially ordered a couple of these Nike long sleeve shirts in a couple of colors to check out the quality of the material and the workmanship. Some people had posted that the shirts were too sheer and too light for their use. All I can say is that these shirts are my new faves for working out and for wearing under quarter zip pullover shirts. I think I have ordered a total of six or seven of these shirts in various colors and I was actually contemplating ordering a few more when amazon sent an email message asking me to post a review on these shirts. The shirts are generously sized. The material is high quality and is very comfortable next to my skin, unlike some of my other long sleeve work out shirts. The workmanship is excellent. They come in a wide variety of colors. And, they are only +/- $25.00 each. Believe me, you will not be disappointed. These shirts are a great value. Enjoy... and just do it !!,,,,
This dri fit shirt is made of very very thin/fine fabric. It completely takes to the shape of your body. So unless youve got a banging body this might not be the shirt for you. The other dri fit materials are made of a hardier fabric that can kind of keep their shape. I didnt like this one because of the fit. But if youre a runner looking for a next to naked feeling dri fit shirt, this might be the shirt for you.,,,,,,
Nice shirt. I normally wear an x-lg t-shirt, so I got this in an x-lg as well, but I wish I had opted for a large. This kind of shirt wasnt meant to be this loose. My fault, though, so Im still giving it 5-stars. I guess Ill get another, but in large, and Ill just wear this one while doing yard-work or something. Id recommend you guys to consider getting a size smaller than usual.,
"Found my new favorite shirt(s) can wear it for a run or out to eat and very comfortable. Fits good 5""10 165 lbs size large (maybe a tad loose but not bad) very thin though. Nike makes a version 2.0 to this shirt that has some cotton rather than 100% poly that I like better but still love this shirt.",,,,,,,
"really low quality material for this shirt I was expecting something way better for the price and the Nike brand although Im doubting if its actually legit. The Nike logo isnt reflective neither the ""Dri-Fit"" something I found weird because if you look closely to the other shirts they say NikeFit. My chest is quite visble with this tshirt something that Im not a fan though and I used and sweated it and it doesnt dry as my other Nike or whatever other sport brand tshirt. Sadly Im not in the US otherwise Id ask for a refund.

This review isnt biased. Nobody is paying to talk about the crappy product I bought is just a customers opinion about a con over a ""Nike"" shirt. Sad

Here are some pictures of the product.",,,,,,,
"I bought this shirt b/c I wanted a long sleeve shirt to wear around the house that wasnt too warm. This works perfectly. Its light, cool, and extremely comfortable.

Regarding the size, Im 60 and weight 230. I tend to buy XXL size shirts, but on the suggestion of other reviews, I ordered an XL. The fit is perfect, which is to say that any purchasers should also consider ordering a size smaller than normal.",,,,,,,
"The fabric is thin but nice, its overall a good looking shirt, but I have to return it since it was far too large. I normally order medium (I am 5 10.5), but I ordered small (which is the smallest size available) based on the reviews. Both the shirt and the sleeves are about 1 longer than the maximum that I would tolerate. There is also a lot of extra fabric under the armpits and the shirt fits pretty loosely, so I would just order 1-2 sizes smaller if that was possible. The shirt label says ""S"", so I was sent the correct size.",,,,,,,
